1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,macro
311,480,4,6170,quadrant4_6,276,5231,20050,32.994,-97.274,138.17,45.42,53.5,120,No,1,N,40,1,4800,32.994,-97.274,138.17,1437.7,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,6171,quadrant3_5,132,5231,19500,32.9286,-97.2278,928.39,45.72,66.8,60,No,1,N,40,1,4800,32.9286,-97.2278,928.39,1719.84,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,2,8171,quadrant2_7,115,5231,19500,32.9177,-97.21,52.49,27.43,45,300,No,1,N,40,1,4800,32.9177,-97.21,52.49,1497.71,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,6172,quadrant3_6,119,5231,19500,32.9214,-97.2435,117.35,51.82,58.5,60,No,1,N,40,1,4800,32.9214,-97.2435,117.35,869.22,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,4,6173,quadrant4_7,180,5231,19500,32.9733,-97.2725,505.21,85.95,67,120,No,1,N,40,1,4800,32.9733,-97.2725,505.21,2397.4,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,3,9169,quadrant3_7,299,5232,20050,32.882,-97.2534,0.43,1.5,120,60,No,1,N,40,1,4800,32.882,-97.2534,0.43,80.31,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,2,8170,quadrant2_8,269,5232,19500,32.8854,-97.1921,162.89,37.19,59.5,300,No,1,N,40,1,4800,32.8854,-97.1921,162.89,1380.73,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,1,7176,quadrant1_9,494,5232,19500,32.9543,-97.2051,15.06,22.25,66.2,240,No,1,N,40,1,4800,32.9543,-97.2051,15.06,1321.18,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,4,6174,quadrant4_8,433,5232,19500,32.958,-97.2581,548.58,70.1,67,120,No,1,N,40,1,4800,32.958,-97.2581,548.58,2130.15,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,4,9170,quadrant4_9,267,5232,20100,32.9766,-97.2831,24.14,23.16,66.5,120,No,1,N,40,1,4800,32.9766,-97.2831,24.14,1313.14,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,4,8173,quadrant4_10,290,5232,19500,32.9963,-97.2612,22.77,23.77,69.2,120,No,1,N,40,1,4800,32.9963,-97.2612,22.77,1290.91,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,1,9171,quadrant1_10,325,5232,23230,32.9833,-97.2054,683.33,67.06,67,240,No,1,N,40,1,4800,32.9833,-97.2054,683.33,2081.2,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,2,9172,quadrant2_9,31,5232,19500,32.9011,-97.1934,536.02,55.17,65.5,300,No,1,N,718,1,4800,32.9011,-97.1934,536.02,4497.11,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,1,9173,quadrant1_11,0,5232,19500,32.9692,-97.2133,44.35,54.86,65,240,No,1,N,40,1,4800,32.9692,-97.2133,44.35,1913.17,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,2,6175,quadrant2_10,125,5232,19500,32.9101,-97.2187,191.44,45.72,120,300,No,1,N,40,1,4800,32.9101,-97.2187,191.44,1431.24,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,7177,quadrant3_8,8,5232,19500,32.8708,-97.2466,591.53,1.5,120,60,No,1,N,40,1,4800,32.8708,-97.2466,591.53,80.18,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,2,7178,quadrant2_11,361,5232,19500,32.9298,-97.1754,39.93,31.09,91.8,300,No,1,N,40,1,4800,32.9298,-97.1754,39.93,1039.26,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,1,7179,quadrant1_12,428,5232,19500,32.9621,-97.2044,155.94,21.34,90,240,No,1,N,40,1,4800,32.9621,-97.2044,155.94,1344.12,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,9174,quadrant3_9,227,5232,19500,32.9013,-97.2477,212.93,36.88,82,60,No,1,N,40,1,4800,32.9013,-97.2477,212.93,621.68,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,2,6176,quadrant2_12,369,5232,19500,32.9194,-97.1625,215.16,44.2,67,300,No,1,N,40,1,4800,32.9194,-97.1625,215.16,1679.27,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,4,8174,quadrant4_11,232,5232,19500,32.9822,-97.2279,273.31,52.43,82.8,120,No,1,N,631,1,4800,32.9822,-97.2279,273.31,3605.23,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,2,7180,quadrant2_13,153,5232,19500,32.9317,-97.1509,-26.82,1.5,180,300,No,1,N,40,1,4800,32.9317,-97.1509,-26.82,147.2,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,7181,quadrant3_10,30,5232,19500,32.9033,-97.2342,2552.76,23.29,86.5,60,No,1,N,40,1,4800,32.9033,-97.2342,2552.76,1103.69,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,2,7182,quadrant2_14,42,5232,19500,32.8863,-97.1744,-4.42,15,360,300,No,1,N,37,1,4800,32.8863,-97.1744,-4.42,0.99,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,8175,quadrant3_11,339,5232,19500,32.8942,-97.2797,212.81,23.77,81.8,60,No,1,N,40,1,4800,32.8942,-97.2797,212.81,1158.11,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,9175,quadrant3_12,255,5232,19500,32.9251,-97.2737,36.91,44.81,85,60,No,1,N,40,1,4800,32.9251,-97.2737,36.91,1116.49,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,4,9176,quadrant4_12,231,5232,19500,32.9475,-97.2722,412.3,55.47,58.5,120,No,1,N,40,1,4800,32.9475,-97.2722,412.3,1395.9,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,1,8176,quadrant1_13,318,5232,19500,32.9782,-97.2092,272.31,47.85,57.8,240,No,1,N,40,1,4800,32.9782,-97.2092,272.31,1866.49,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,4,7183,quadrant4_13,123,5232,19500,32.9824,-97.2543,203.58,41.45,120,120,No,1,N,40,1,4800,32.9824,-97.2543,203.58,790.73,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,2,7184,quadrant2_15,118,5232,19500,32.9369,-97.1527,76.41,18.29,53.5,300,No,1,N,40,1,4800,32.9369,-97.1527,76.41,578.6,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,6177,quadrant3_13,25,5232,19500,32.9176,-97.2742,81.63,26.21,88.5,60,No,1,N,40,1,4800,32.9176,-97.2742,81.63,1077.04,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,9177,quadrant3_14,420,5232,19500,32.9304,-97.2398,511.91,55.17,78,60,No,1,N,618,1,4800,32.9304,-97.2398,511.91,3871.85,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,7185,quadrant3_15,84,5232,19500,32.9152,-97.2677,1369.1,46.02,67,60,No,1,N,199,1,4800,32.9152,-97.2677,1369.1,2750.6,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,7186,quadrant3_16,5,5232,19500,32.902,-97.2248,1167.48,114.91,82.2,60,No,1,N,794,1,4800,32.902,-97.2248,1167.48,6417.07,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,2,6178,quadrant2_16,1,5232,19500,32.9019,-97.2213,268.99,53.34,81.8,300,No,1,N,40,1,4800,32.9019,-97.2213,268.99,1153.71,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,1,8177,quadrant1_14,30,5233,19500,32.9885,-97.1872,75.16,36.58,84.5,240,No,1,N,40,1,4800,32.9885,-97.1872,75.16,1127.66,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,7187,quadrant3_17,313,5233,19500,32.8998,-97.2799,25.45,15,60.5,60,No,1,N,40,1,4800,32.8998,-97.2799,25.45,1374.81,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,1,7188,quadrant1_15,78,5233,19500,32.9439,-97.1615,205.92,51.82,81.8,240,No,1,N,337,1,4800,32.9439,-97.1615,205.92,1381.23,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,2,7189,quadrant2_17,315,5233,19500,32.8944,-97.2187,240.33,56.39,66,300,No,1,N,447,1,4800,32.8944,-97.2187,240.33,3937.24,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,4,6179,quadrant4_14,80,5233,19500,32.9613,-97.2938,1629.61,15.24,78.2,120,No,1,N,771,1,4800,32.9613,-97.2938,1629.61,2058.84,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,8178,quadrant3_18,23,5233,19500,32.8869,-97.2864,118.78,23.47,65,60,No,1,N,627,1,4800,32.8869,-97.2864,118.78,1277.24,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,2,8179,quadrant2_18,331,5233,19500,32.9221,-97.2211,201.32,37.8,65.5,300,No,1,N,3,1,4800,32.9221,-97.2211,201.32,397.14,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,6180,quadrant3_19,288,5233,19500,32.9269,-97.2682,463.08,106.68,67,60,No,1,N,40,1,4800,32.9269,-97.2682,463.08,2714.77,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,3,8180,quadrant3_20,207,5233,19500,32.9005,-97.2922,148.71,24.38,63.5,60,No,1,N,40,1,4800,32.9005,-97.2922,148.71,1350.31,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,1,6181,quadrant1_16,64,5233,19500,32.9522,-97.2139,746.85,23.16,78,240,No,1,N,40,1,4800,32.9522,-97.2139,746.85,1195.08,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,2,7190,quadrant2_19,123,5233,19500,32.8881,-97.1572,136.25,57,68,300,No,1,N,40,1,4800,32.8881,-97.1572,136.25,848.46,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,2,8181,quadrant2_20,33,5233,19500,32.8986,-97.2226,299.68,74.95,66,300,No,1,N,40,1,4800,32.8986,-97.2226,299.68,2237.73,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,2,9178,quadrant2_21,459,5233,19500,32.9128,-97.1654,105.03,33.53,88.5,300,No,1,N,40,1,4800,32.9128,-97.1654,105.03,1082.05,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,1,7191,quadrant1_17,315,5233,19500,32.9453,-97.1639,273.31,46.33,82.8,240,No,1,N,535,1,4800,32.9453,-97.1639,273.31,3209.81,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,4,7192,quadrant4_15,190,5233,19500,32.995,-97.2393,0.43,1.5,120,120,No,1,N,40,1,4800,32.995,-97.2393,0.43,80.31,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,3,8182,quadrant3_21,186,5233,19500,32.9133,-97.2949,33.35,54.28,43.5,60,No,1,N,40,1,4800,32.9133,-97.2949,33.35,2138.72,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,2,8183,quadrant2_22,393,5233,19500,32.9343,-97.1716,63.95,29.29,61.8,300,No,1,N,40,3,4800,32.9343,-97.1716,63.95,1364.94,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,1,9179,quadrant1_18,120,5233,19500,32.9613,-97.2041,50.54,41.15,66.2,240,No,1,N,40,1,4800,32.9613,-97.2041,50.54,1319.23,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,4,7193,quadrant4_16,144,5233,19500,32.9512,-97.2312,25.94,36.58,58.5,120,No,1,N,40,1,4800,32.9512,-97.2312,25.94,1390.64,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,1,9180,quadrant1_19,269,5233,19500,32.9852,-97.1952,0.43,1.5,120,240,No,1,N,40,1,4800,32.9852,-97.1952,0.43,149.46,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,3,7194,quadrant3_22,190,5233,19500,32.9235,-97.2668,639.62,122.83,82.2,60,No,1,N,760,1,4800,32.9235,-97.2668,639.62,6645.79,1,6,2,1,100,Normal (short),0,Y,,macro
311,480,2,7195,quadrant2_23,244,5233,19500,32.8955,-97.2022,42.34,42.67,63.8,300,No,1,N,40,1,4800,32.8955,-97.2022,42.34,1344.7,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,4,7196,quadrant4_17,8,5233,19500,32.9943,-97.2705,481.77,59.44,81,120,No,1,N,40,1,4800,32.9943,-97.2705,481.77,1727,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,2,6182,quadrant2_24,68,5233,19500,32.9268,-97.2177,151.49,42.37,67.2,300,No,1,N,40,1,4800,32.9268,-97.2177,151.49,1631.19,1,6,2,1,100,Normal (short),5152,Y,,macro
311,480,3,8184,quadrant3_23,15,5233,19500,32.9209,-97.2781,139.32,57.3,58.5,60,No,1,N,40,1,4800,32.9209,-97.2781,139.32,909.14,1,6,2,1,100,Normal (short),5152,Y,,macro
